SeriesID,SiteName,VariableName,LocalDateTime,DataValue,VarUnits,DataType,SiteID,SiteCode,VariableID,VariableCode,Organization,SourceDescription,SourceLink,ValueType,TimeSupport,TimeUnits,IsRegular,NoDataValue,UTCOffset,DateTimeUTC,Latitude,Longitude,ValueAccuracy,CensorCode,MethodDescription,QualityControlLevelCode,SampleMedium,GeneralCategory
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/7/2009 12:00:00 AM,18.8,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/7/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/8/2009 12:00:00 AM,18.4,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/8/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/9/2009 12:00:00 AM,19.3,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/9/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/10/2009 12:00:00 AM,19.7,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/10/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/11/2009 12:00:00 AM,19.4,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/11/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/12/2009 12:00:00 AM,18.8,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/12/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/13/2009 12:00:00 AM,18.4,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/13/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/14/2009 12:00:00 AM,19.1,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/14/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/15/2009 12:00:00 AM,20,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/15/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/16/2009 12:00:00 AM,18.4,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/16/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/17/2009 12:00:00 AM,15.1,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/17/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/18/2009 12:00:00 AM,14.2,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/18/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/19/2009 12:00:00 AM,15.2,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/19/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/20/2009 12:00:00 AM,17.3,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/20/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/21/2009 12:00:00 AM,16.7,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/21/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/22/2009 12:00:00 AM,16.5,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/22/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/23/2009 12:00:00 AM,16.7,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/23/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/24/2009 12:00:00 AM,17,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/24/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/25/2009 12:00:00 AM,14.9,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/25/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/26/2009 12:00:00 AM,13.8,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/26/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/27/2009 12:00:00 AM,13.2,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/27/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/28/2009 12:00:00 AM,14.4,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/28/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/29/2009 12:00:00 AM,16.8,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/29/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/30/2009 12:00:00 AM,14.5,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/30/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",12/1/2009 12:00:00 AM,12.6,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,12/1/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",12/2/2009 12:00:00 AM,11.7,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,12/2/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",12/3/2009 12:00:00 AM,10.8,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,12/3/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",12/4/2009 12:00:00 AM,9.4,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,12/4/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",12/5/2009 12:00:00 AM,8.6,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,12/5/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",12/6/2009 12:00:00 AM,9.8,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,12/6/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",12/7/2009 12:00:00 AM,11.7,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,12/7/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",12/8/2009 12:00:00 AM,12.3,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,12/8/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",12/9/2009 12:00:00 AM,11.6,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,12/9/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",12/10/2009 12:00:00 AM,9.8,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,12/10/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",12/11/2009 12:00:00 AM,9.8,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,12/11/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",12/12/2009 12:00:00 AM,10.6,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,12/12/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",12/13/2009 12:00:00 AM,13.2,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,12/13/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
