Date, Time, element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,element 13,element 14,element 15,
08/21/2009, 12:35 AM,2111.00714674486,3494.01046377959,7822.70523453938,14723.5472205415,34249.0221209011,41284.4299209171,24306.981460733,21871.5515262441,86289.1569780678,21642.4925102008,9706.31277716153,34765.5354088624,56350.3067400668,40711.0974213208,10560.0108222916,
08/21/2009, 12:40 AM,2084.05675033978,4899.20388045428,8042.40334154314,17098.7929901318,39520.24603664,41904.7324126613,25495.6696049172,26438.3697425536,81079.8034696258,13265.2793968003,7945.96330564637,35547.2882257148,60659.5161036874,39523.9994726865,11171.1053952178,
08/21/2009, 12:45 AM,2072.94277822027,6562.55966311513,8262.6163133604,19549.8513689412,43690.6665998708,42463.280167694,26785.4581390186,30959.9874409164,77153.2088165115,8286.94446344381,6936.34471639858,36600.3186068963,64990.2405606186,38351.9357523224,11799.4962722338,
08/21/2009, 12:50 AM,2068.23956064038,8270.12008625745,8475.36401836862,21740.2030616723,46381.0043957287,42914.6817780442,28058.2035965572,34925.7340161877,74701.8582428773,5189.51342336138,6320.22107445357,37757.8497419807,68882.4500264162,37332.8627915667,12406.9818162506,
08/21/2009, 12:55 AM,2066.10118708714,9877.34532100111,8672.18874075997,23545.7506500439,48179.8931411462,43224.188933405,29230.5028427926,38141.3139869826,73084.7307685002,3208.39372255662,5955.69800187837,38853.7298517274,72139.8915470355,36546.2598565082,12972.2803748637,
08/21/2009, 01:00 AM,2065.56520053644,11301.6241915632,8847.62347406164,24833.8161176429,49421.5914790502,43440.6025426763,30255.0690923741,40417.2575523544,71980.6663534268,1986.30386633896,5739.39590329946,39826.9727685638,74528.207294702,36004.1016658374,13471.5439068793,
08/21/2009, 01:05 AM,2065.59725200386,12475.9736983151,9000.04780319042,25766.7997193073,50244.1911851512,43597.1088162705,31095.5214090064,42072.5561704698,71251.8583006589,1218.67364758373,5611.99219501547,40586.3761349687,76254.9052550461,35610.3888667168,13897.5029337115,
08/21/2009, 01:10 AM,2065.62567919683,13350.3917205095,9127.22301790715,26457.6567772129,50804.9857825187,43709.8741885442,31725.308322156,43301.2075196825,70769.1532068178,742.211691867347,5534.96732798046,41140.6473263114,77539.9290916316,35316.3944627675,14235.5050267734,
08/21/2009, 01:15 AM,2065.65101028778,14020.2341815847,9226.64692359462,26980.0199908412,51182.7243806674,43789.6928796121,32208.9177018435,44225.767537587,70453.7718520943,441.277979514338,5489.84026210066,41567.8502238447,78522.5110456709,35101.5598341834,14493.6367988497,
08/21/2009, 01:20 AM,2065.67368033419,14542.3776470504,9304.96401850432,27361.5185937949,51437.2193429266,43846.8093294777,32586.2572384163,44897.6552412738,70240.9060517674,254.198747830357,5460.98410216873,41901.5723258602,79256.4128374792,34945.2336535703,14698.386066879,
08/21/2009, 01:25 AM,2065.69405036505,14960.1075907994,9367.51075853326,27647.0549642479,51609.3776284807,43887.2540175606,32887.2049321047,45399.6185815978,70098.6015325861,134.691797152627,5444.08729515462,42164.8792965812,79803.1372961658,34829.5991556328,14859.9750571311,
08/21/2009, 01:30 AM,2065.71242204009,15288.9177540223,9417.91645685327,27860.9556656248,51725.7850564571,43916.0329892784,33123.8614617647,45771.4409813785,70005.2407547261,54.4558393393489,5437.37306777023,42368.2349784188,80212.6359724284,34743.837969201,14991.1146934186,
08/21/2009, 01:35 AM,2065.72904902135,15540.6642843498,9459.05805266375,28021.4208079667,51804.5302100648,43936.6707016334,33305.6063292093,46044.7339206463,69942.259469939,10.8649808698956,5437.39604027077,42524.8146715905,80516.538846758,34678.7264446164,15095.6089071302,
08/21/2009, 01:40 AM,2065.74414587591,15739.2058973822,9492.14398193501,28144.8956847979,51860.4193579607,43951.4372067883,33449.471800512,46247.2686739996,69896.9027707407,1.20627092281154E-15,5437.41776022487,42644.755256435,80741.4808028628,34630.8676841644,15177.1558460539,
08/21/2009, 01:45 AM,2065.75789510541,15894.8860525462,9518.32849082375,28238.4266722207,51899.9482612421,43961.9062677981,33562.8240561416,46398.0886626658,69868.9222258295,0,5437.43831723033,42736.5683578745,80909.9897989282,34595.7801373992,15242.544447332,
08/21/2009, 01:50 AM,2065.77045274074,16015.8923542297,9539.54513371716,28308.0224130544,51924.0214797505,43969.4216320786,33650.9585542784,46510.1606656274,69855.6288442102,0,5437.45779299936,42808.6509788062,81035.7882269022,34570.1579773523,15295.1543851685,
08/21/2009, 01:55 AM,2065.78195282786,16109.5421906216,9556.74557358396,28359.5566748614,51934.4712646585,43975.1306881221,33718.6819191939,46592.8869294737,69855.6420297429,0,5437.47626217857,42867.1189453563,81130.3079207157,34551.5492973994,15336.8979700477,
08/21/2009, 02:00 AM,2065.79251104949,16183.9914232411,9570.64652394658,28397.5299719477,51934.7528351029,43979.2838741342,33771.7708770233,46654.0329304914,69855.6545579145,0,5437.49379307101,42916.1080004303,81200.6573347552,34537.6108193756,15369.6108221818,
08/21/2009, 02:05 AM,2065.80222766809,16243.8232365296,9581.79948325351,28426.2732184865,51934.9978962762,43981.9728624969,33813.0767626854,46700.7415171923,69855.6664718202,0,5437.51044827337,42958.5166992183,81253.7472254302,34526.735164883,15395.5377875914,
08/21/2009, 02:10 AM,2065.8111899321,16292.1440800957,9590.72125601442,28449.0707946767,51935.2127752835,43983.3653012448,33844.6174861279,46737.2887723397,69855.677811071,0,5437.52628523963,42991.2064910652,81295.4299936592,34518.9223361133,15415.7378466707,
