Simulation Time, PET[mm/day]
01/18/2007: 12:00 AM,0.326667545165357
01/19/2007: 12:00 AM,0.475502496275705
01/20/2007: 12:00 AM,0.59980429893866
01/21/2007: 12:00 AM,0.366219319369823
01/22/2007: 12:00 AM,0.452396183696026
01/23/2007: 12:00 AM,0.420038453366975
01/24/2007: 12:00 AM,0.527107735089186
01/25/2007: 12:00 AM,0.413164789151248
01/26/2007: 12:00 AM,0.638149114042471
01/27/2007: 12:00 AM,0.773600315319596
01/28/2007: 12:00 AM,0
01/29/2007: 12:00 AM,0.403699116514699
01/30/2007: 12:00 AM,0.539883948190348
01/31/2007: 12:00 AM,0.479751919428107
02/01/2007: 12:00 AM,0.364306428210237
02/02/2007: 12:00 AM,0.548727602039997
02/03/2007: 12:00 AM,0.404176386873771
02/04/2007: 12:00 AM,0.376012829799574
02/05/2007: 12:00 AM,0.411615287575045
02/06/2007: 12:00 AM,0.635049585350212
02/07/2007: 12:00 AM,0.865031031528748
02/08/2007: 12:00 AM,0.675155725081496
02/09/2007: 12:00 AM,0.487891166632782
02/10/2007: 12:00 AM,0.579278327558798
02/11/2007: 12:00 AM,0.791218061563041
02/12/2007: 12:00 AM,1.02211589534956
02/13/2007: 12:00 AM,0.736536003489748
02/14/2007: 12:00 AM,0.444556886274915
02/15/2007: 12:00 AM,0.52514342557329
02/16/2007: 12:00 AM,0.492881600965663
02/17/2007: 12:00 AM,0.405350716904537
02/18/2007: 12:00 AM,0.485716605461604
02/19/2007: 12:00 AM,0.898267835243052
02/20/2007: 12:00 AM,0.929766282639554
02/21/2007: 12:00 AM,0.977610859136775
02/22/2007: 12:00 AM,1.04768196059043
02/23/2007: 12:00 AM,1.00375979700715
02/24/2007: 12:00 AM,0.882592771487319
02/25/2007: 12:00 AM,0.882110941057989
02/26/2007: 12:00 AM,1.04605646088264
02/27/2007: 12:00 AM,1.16207535836967
02/28/2007: 12:00 AM,1.26402130587882
03/01/2007: 12:00 AM,0.874989999253315
03/02/2007: 12:00 AM,0.966441330390142
03/03/2007: 12:00 AM,0.875755714836109
03/04/2007: 12:00 AM,0.682416378316095
03/05/2007: 12:00 AM,1.06775374113739
03/06/2007: 12:00 AM,1.16081706256003
03/07/2007: 12:00 AM,1.26209412612701
03/08/2007: 12:00 AM,1.41092230756156
03/09/2007: 12:00 AM,1.08840776788574
03/10/2007: 12:00 AM,1.24487398732725
